topic,topic_distribution
186,"{'officer': np.float64(0.7495614265212419), 'oversight': np.float64(0.6239403807332721), 'oversees': np.float64(0.1591255159036215), 'oversee': np.float64(0.14622967267405929), 'comptroller': np.float64(0.03054247884286359), 'taxpayer': np.float64(0.02764960087264395), 'govern': np.float64(0.020732551575754377), 'ofﬁcer': np.float64(0.0034986194946205335), 'sarbanes': np.float64(0.0034986194946205335), 'supervises': np.float64(0.000599471469576836)}"
187,"{'information': np.float64(0.9114684249931704), 'system': np.float64(0.4098557125641617), 'intelligence': np.float64(0.030996599062654104), 'computer': np.float64(0.01596622909642063), 'computing': np.float64(0.005236348320955875), 'internet': np.float64(0.0006403175501437193), 'web': np.float64(0.00025718413355274637)}"
188,"{'shareholder': np.float64(0.8553801356383294), 'corporates': np.float64(0.4998650983294496), 'cybersecurity': np.float64(0.12655384381416787), 'computershare': np.float64(0.0364331255249862), 'infosys': np.float64(0.02463732416173368), 'intercompany': np.float64(0.017574198890360968), 'microsoft': np.float64(0.012296744150436427), 'insourcing': np.float64(0.005415672738317822), 'investee': np.float64(0.0034413219359106803), 'offshoring': np.float64(0.002737480462414853), 'payvision': np.float64(0.0008560814426486435)}"
189,"{'concentration': np.float64(0.9974125069138499), 'intensive': np.float64(0.05432321055203624), 'contain': np.float64(0.03154545472934724), 'constrain': np.float64(0.02002797655543558), 'devote': np.float64(0.017943845200937964), 'concentrate': np.float64(0.017943845200937763), 'concentrated': np.float64(0.01041916837968426), 'focal': np.float64(0.004698640316083061), 'segregate': np.float64(0.004344975800963374), 'focusses': np.float64(0.004344975800963372), 'prioritizes': np.float64(0.0020841313544976182), 'refines': np.float64(0.0020841313544976182), 'diluted': np.float64(2.9503879237053983e-19), 'prioritise': np.float64(1.516096405406705e-19), 'convene': np.float64(-2.4909310694202023e-19)}"
190,"{'relevant': np.float64(0.9723072203744662), 'regarding': np.float64(0.19880467464674711), 'regard': np.float64(0.1119916245310008), 'proceeding': np.float64(0.05048717614629356), 'concerning': np.float64(0.002071604755041941), 'concluding': np.float64(8.927461771612855e-06)}"
191,"{'finally': np.float64(0.6670606079729399), 'conclusion': np.float64(0.48405582888800525), 'concluded': np.float64(0.4764429899399106), 'inconclusive': np.float64(0.2132859019068798), 'resolved': np.float64(0.2132859019068798), 'finishing': np.float64(0.05234907108033876), 'deduce': np.float64(4.876060791153605e-18), 'verdict': np.float64(2.212142242886275e-18), 'finalised': np.float64(-1.4896950300151677e-17)}"
193,"{'stability': np.float64(0.8986788676008831), 'conservatism': np.float64(0.24605577895223277), 'retaining': np.float64(0.17629210469781215), 'stabilization': np.float64(0.16826905798603237), 'theory': np.float64(0.15186401491963988), 'ism': np.float64(0.13638969268718398), 'preserving': np.float64(0.12280582709030437), 'preserve': np.float64(0.090926461791456), 'kept': np.float64(0.05470928647180528), 'conventional': np.float64(0.05397801549078665), 'keeping': np.float64(0.03176133700411572), 'revert': np.float64(0.01480687446117709), 'traditionel': np.float64(0.01480687446117709), 'politics': np.float64(0.00847011357444329)}"
194,"{'several': np.float64(0.7018163935682794), 'outstanding': np.float64(0.6070080711148719), 'sufficient': np.float64(0.26606468897146024), 'substantial': np.float64(0.14418201723850912), 'meaningful': np.float64(0.14334601310306128), 'measurable': np.float64(0.1368531089429057), 'sufficiently': np.float64(0.07483126891649798), 'significance': np.float64(0.04208371506347989), 'numerous': np.float64(0.026431338333108904), 'considerable': np.float64(0.008357755716244867)}"
195,"{'stressed': np.float64(0.7216608903131222), 'limited': np.float64(0.6215626881583473), 'restriction': np.float64(0.23649041825588626), 'limitation': np.float64(0.1397186699969537), 'requiring': np.float64(0.11419410492548147), 'tightened': np.float64(0.0411646159213759), 'restrictive': np.float64(0.03073499749362671), 'trapped': np.float64(0.03066651700354384), 'constrained': np.float64(0.023773974228533223), 'imposed': np.float64(0.010629134858977965), 'fenced': np.float64(0.008409438001229981), 'hampered': np.float64(0.006892542775010423), 'disciplined': np.float64(0.00018771918828477144), 'narrow': np.float64(0.00015322912874705873)}"
196,"{'retail': np.float64(0.9423926323461091), 'inflation': np.float64(0.3253830468058648), 'production': np.float64(0.07018901446335656), 'consumption': np.float64(0.03207749779793333), 'dissemination': np.float64(0.008139733077770162), 'spending': np.float64(0.0005224017721955802), 'expenditure': np.float64(8.704367062868962e-05)}"
197,"{'intangible': np.float64(0.93408341593941), 'remote': np.float64(0.2859309042032379), 'electronic': np.float64(0.15542670555882654), 'transferrable': np.float64(0.1416935126970773), 'seamless': np.float64(0.03546866931406336), 'digitalised': np.float64(0.011224105425035907), 'frictionless': np.float64(0.007044015840294536), 'inaccessible': np.float64(0.005507488555299479), 'frictionlessly': np.float64(0.005507488555299476), 'facilitated': np.float64(0.0016858892424741825), 'takeaway': np.float64(0.00020912831443695731), 'contactless': np.float64(4.153251836166682e-05)}"
198,"{'including': np.float64(0.9155494316939856), 'include': np.float64(0.3919376573900385), 'embedded': np.float64(0.062473167585464), 'found': np.float64(0.061526703111239645), 'contains': np.float64(0.02107379750066729), 'contained': np.float64(0.00464341881413158), 'ent': np.float64(0.0001126993637325965)}"
199,"{'ongoing': np.float64(0.6279489382860262), 'continued': np.float64(0.5066737781009053), 'continue': np.float64(0.35852347758260933), 'follows': np.float64(0.23414720758514784), 'progress': np.float64(0.23288659873905343), 'still': np.float64(0.2298424080430201), 'next': np.float64(0.16250952699229862), 'keep': np.float64(0.1350204054596279), 'later': np.float64(0.09728296749323913), 'stay': np.float64(0.048728523773426936), 'repeat': np.float64(0.03738100572373898), 'navigate': np.float64(0.025660741400213335)}"
200,"{'tightening': np.float64(0.6340500977651836), 'outsourcing': np.float64(0.6186238479313061), 'signing': np.float64(0.3781880930537423), 'leveraging': np.float64(0.26262388369522205), 'exercising': np.float64(0.05442636044937263), 'mobilising': np.float64(0.018034455025658286), 'contracting': np.float64(-0.0)}"
202,"{'cro': np.float64(0.9922142205354167), 'cop': np.float64(0.10241381759796189), 'orp': np.float64(0.06936362604685573), 'ops': np.float64(0.012940530364611584), 'prof': np.float64(0.006470265182305792), 'victim': np.float64(0.0013100596518605115), 'imp': np.float64(-1.8591415250678982e-19), 'copy': np.float64(-2.5940190948580265e-18), 'copilot': np.float64(-1.1102230246251565e-16)}"
203,"{'index': np.float64(0.7133145130226526), 'core': np.float64(0.5042638963186472), 'primary': np.float64(0.4102127995108866), 'macro': np.float64(0.2518540543982264), 'root': np.float64(0.06846951283009638), 'developer': np.float64(0.022522180050287832)}"
204,"{'sovereign': np.float64(0.9018273093441094), 'kingdom': np.float64(0.368183340055478), 'globe': np.float64(0.2059842393198573), 'orps': np.float64(0.08338082345189007), 'triangle': np.float64(0.027793607817296676), 'omicron': np.float64(0.02224861880821336), 'dominates': np.float64(0.02224861880821335), 'krone': np.float64(0.0020437577674679167), 'corona': np.float64(1.1750383890938112e-16), 'horisont': np.float64(-4.777087146663611e-19), 'ruling': np.float64(-1.150753410594463e-17), 'coronavirus': np.float64(-5.077311852838275e-17)}"
205,"{'reduced': np.float64(0.9751640288194803), 'recovered': np.float64(0.20896705331744436), 'treated': np.float64(0.07277582529665867), 'corrected': np.float64(0.008609331508066321), 'rectified': np.float64(0.003956277528502704), 'underlined': np.float64(0.0013394237102322148)}"
206,"{'respond': np.float64(0.7502398021456296), 'representing': np.float64(0.5437615035177578), 'syndicated': np.float64(0.3099195356441115), 'representative': np.float64(0.13890511520571697), 'responding': np.float64(0.11465917159319286), 'correspondent': np.float64(0.10737945438466004), 'mediarelations': np.float64(0.032094673032198845), 'insider': np.float64(0.014374975086271011), 'journalist': np.float64(0.010698224344066264), 'deputy': np.float64(0.00952282311831798)}"
207,"{'rate': np.float64(0.839664382941368), 'cost': np.float64(0.5418787411338217), 'fee': np.float64(0.023514456494691312), 'cost³': np.float64(0.021050255870240453), 'expense': np.float64(0.017533294355603204), 'priced': np.float64(0.0052625639675601375)}"
208,"{'recovery': np.float64(0.784578045410982), 'macroeconomic': np.float64(0.5380880803926352), 'countercyclical': np.float64(0.24002691127752568), 'transitional': np.float64(0.14680251900000377), 'cycle': np.float64(0.08375756475093597), 'downturn': np.float64(0.07793661725655421), 'revolving': np.float64(0.04317385695399245), 'economiques': np.float64(0.021244682289508404), 'reoccurrence': np.float64(0.017882392976408364), 'stagflationary': np.float64(0.001830584385977353), 'stagflation': np.float64(0.0017468768971712243), 'inflationary': np.float64(0.0010725614023546306), 'deflation': np.float64(0.0009152921929886789), 'tapering': np.float64(0.0009152921929886765), 'expansionary': np.float64(0.0009152921929886757)}"
210,"{'coverage': np.float64(0.9491677188032283), 'scope': np.float64(0.24958497218582884), 'protect': np.float64(0.1863196554848535), 'indemnity': np.float64(0.03219448105561007), 'protects': np.float64(0.03219448105561004)}"
211,"{'reputational': np.float64(0.853685502479333), 'creditworthiness': np.float64(0.5111610725929018), 'reputation': np.float64(0.08772303750050073), 'eligibility': np.float64(0.04128600050666053), 'valuing': np.float64(0.020490136561699682), 'creditworthy': np.float64(0.010703569071325969), 'soundness': np.float64(0.0010693404283798518), 'reputable': np.float64(1.047324012803132e-19)}"
212,"{'sensitivity': np.float64(0.9612729973540151), 'severity': np.float64(0.16656010850528122), 'materiality': np.float64(0.15531614015789488), 'vulnerability': np.float64(0.11271264210275453), 'vulnerable': np.float64(0.05762377920090573), 'priority': np.float64(0.05327184689028266), 'intensity': np.float64(0.0466007640628784), 'prioritized': np.float64(0.032849165595677174), 'crucial': np.float64(0.028238674144502696), 'susceptibility': np.float64(0.027167996105820224), 'risk²': np.float64(0.01834608472577968), 'responsiveness': np.float64(0.008821911380040539), 'criticality': np.float64(0.004954297305659504), 'pivotal': np.float64(0.0010710711164832268), 'prioritised': np.float64(5.696599820594524e-05), 'primacy': np.float64(7.878504291799171e-06)}"
213,"{'lcr': np.float64(0.9989985299468322), 'cru': np.float64(0.043414989453985496), 'csrd': np.float64(0.010820159646621723), 'crude': np.float64(0.0), 'sicr': np.float64(-1.4631174735918062e-17)}"
214,"{'st': np.float64(0.9581028662964897), 'sft': np.float64(0.17537241920204347), 'gwst': np.float64(0.16824998141650088), 'rtcs': np.float64(0.09698865745346541), 'srm': np.float64(0.08844105799631315), 'ecls': np.float64(0.06769943150529315), 'cst': np.float64(0.029863583967915296), 'jst': np.float64(0.012123582181683173), 'stc': np.float64(0.011167255635317036), 'kt': np.float64(-1.6491412849576296e-18), 'tdd': np.float64(-4.383661615274366e-18)}"
216,"{'current': np.float64(0.9147121557081868), 'existing': np.float64(0.28574540361822104), 'variable': np.float64(0.2736499119930928), 'status': np.float64(0.07606715355997407), 'persistent': np.float64(0.0313169235014166), 'prevailing': np.float64(2.5071975456862353e-05)}"
217,"{'netting': np.float64(0.9474377948951436), 'haircut': np.float64(0.2801881381639862), 'quarrying': np.float64(0.12443148855232707), 'reducing': np.float64(0.07863360509942291), 'deducting': np.float64(0.035939466320337524), 'tranche': np.float64(0.020546576538022457), 'trim': np.float64(0.015461060267122158), 'shading': np.float64(0.015392889782315069), 'cutting': np.float64(1.6849302056698434e-05), 'reshaping': np.float64(8.425553822581767e-06), 'redirecting': np.float64(9.026973980426206e-10), 'lowering': np.float64(2.7734828016676955e-19), 'streamlining': np.float64(1.0768835811285178e-19), 'pressing': np.float64(-5.466946754566177e-20)}"
218,"{'security': np.float64(0.9994573855732862), 'cyber': np.float64(0.028374092369900305), 'cyberattacks': np.float64(0.012743666705083125), 'malware': np.float64(0.006139546994816311), 'cyberattack': np.float64(0.004395858302047092), 'gaming': np.float64(0.004222214947365228), 'digitalization': np.float64(0.0033838986557184576), 'virus': np.float64(0.0030934973878265506), 'quantum': np.float64(0.0030539131068630754), 'phishing': np.float64(0.0018388510360397012), 'ddos': np.float64(0.0017119679116790582), 'terrorist': np.float64(0.0014402686618500318), 'cybercrime': np.float64(0.0014371075384544995), 'cyberthreats': np.float64(0.0013419451951840167)}"
219,"{'deterioration': np.float64(0.7878527225748106), 'impaired': np.float64(0.6003940936080325), 'distressed': np.float64(0.12066830445507205), 'destabilizing': np.float64(0.0531873864040594), 'damaging': np.float64(0.03012222303733795), 'weakening': np.float64(0.01609231347955423), 'stressing': np.float64(0.01607863231303678), 'stimulating': np.float64(0.0006698070045963529), 'disrupting': np.float64(1.3681166517437041e-05), 'endangering': np.float64(1.7884200707129572e-18), 'eroding': np.float64(-3.9127380987053407e-19), 'devastating': np.float64(-4.0593148136811747e-19)}"
220,"{'danske': np.float64(0.762370204500125), 'dkk': np.float64(0.5546428425808714), 'danica': np.float64(0.29840444696240387), 'pd': np.float64(0.14492525747093807), 'danmark': np.float64(0.02524895463260143), 'netherlands': np.float64(0.021528817246951472), 'doj': np.float64(0.0033690567957328434), 'dk': np.float64(0.0010389022674774041), 'delta': np.float64(0.0009832654320331108), 'dax': np.float64(0.00019573384957403882), 'dora': np.float64(9.786692478701529e-05), 'dieter': np.float64(3.074572066061334e-08), 'dna': np.float64(3.074572064608775e-08)}"
221,"{'domicile': np.float64(0.6079149344820514), 'dans': np.float64(0.5811478057984412), 'shall': np.float64(0.46137155583552364), 'wherein': np.float64(0.2711880187249682), 'therein': np.float64(0.07040728714763762), 'pas': np.float64(0.036644510254400124), 'room': np.float64(9.101404456420033e-19), 'isin': np.float64(-3.877826068856952e-18)}"
222,"{'go': np.float64(0.6145609219967402), 'lgds': np.float64(0.5501597215315607), 'lods': np.float64(0.44280909733568274), 'logistic': np.float64(0.32647691374235643), 'dealogic': np.float64(0.09449801040368512), 'dlt': np.float64(0.07965753306231382), 'logons': np.float64(0.04119327038518839)}"
223,"{'senior': np.float64(0.8990380248424134), 'need': np.float64(0.3271090094297278), 'please': np.float64(0.24976351888498516), 'respect': np.float64(0.14556898286636547), 'far': np.float64(0.032424648528403106), 'devoted': np.float64(0.006510203258715153), 'heart': np.float64(0.005646453513937541), 'wish': np.float64(0.0056036855164296046), 'miss': np.float64(0.0008546145022551902), 'loved': np.float64(0.0005351026296764235), 'dear': np.float64(0.00037508760568694366)}"
224,"{'mitigation': np.float64(0.6812228369682892), 'reduction': np.float64(0.6430137513936314), 'reduce': np.float64(0.2744971559869138), 'downgrade': np.float64(0.2080743405035317), 'decarbonization': np.float64(0.03485379796085647), 'reduces': np.float64(0.023665538478370086), 'greenwashing': np.float64(0.02046781161959714), 'deleveraging': np.float64(0.019615494122223492), 'decommissioning': np.float64(0.01876317662484986), 'deconsolidation': np.float64(0.01876317662484986), 'downgrading': np.float64(0.01876317662484986), 'restructures': np.float64(0.013724075248755347), 'digitalisation': np.float64(0.0013020536338457494), 'decarbonisation': np.float64(0.0005680733321623457), 'digitalising': np.float64(0.00017591522963371096), 'digitalise': np.float64(0.00010766320599116628), 'professionalising': np.float64(0.00010766320599116628), 'reprioritisation': np.float64(7.356822151613521e-05)}"
225,"{'due': np.float64(0.9828836336827305), 'derived': np.float64(0.1605276616767482), 'past': np.float64(0.07362619116244765), 'exist': np.float64(0.042020544236404084), 'derive': np.float64(0.02679304907763047), 'late': np.float64(0.012048011785114833), 'elapsed': np.float64(0.010209107387888227), 'decay': np.float64(0.004091984709760229), 'living': np.float64(0.00031310196759159727)}"
226,"{'declined': np.float64(0.6114471242227728), 'discounted': np.float64(0.49118776722931784), 'declining': np.float64(0.44220249575875803), 'deteriorate': np.float64(0.42338596759977337), 'waning': np.float64(0.08374657033536358), 'diminished': np.float64(0.050895265594716826), 'falling': np.float64(0.019350200369469592), 'worsening': np.float64(0.009487909731668508), 'yielded': np.float64(8.587267917022218e-19)}"
227,"{'derivative': np.float64(0.9857388394865816), 'deduction': np.float64(0.1669018744908668), 'deriving': np.float64(0.02045752335102536), 'substantiation': np.float64(0.006411876168884619), 'deduction¹': np.float64(0.0015282957547708698), 'derivation': np.float64(0.0006109474221857492), 'extraction': np.float64(0.0006109474221857492), 'simplification': np.float64(5.189609687348823e-20)}"
228,"{'face': np.float64(0.9472105818712613), 'fx': np.float64(0.26123672694027644), 'depth': np.float64(0.16066508942536473), 'deepfakes': np.float64(0.09327454562019503), 'digitalize': np.float64(0.005674424147106396), 'fraudulent': np.float64(0.0009682919296864682), 'simulate': np.float64(0.0009682919296864682), 'spoofing': np.float64(-7.380649442652284e-20), 'fraudsters': np.float64(-7.380752394229392e-20), 'factset': np.float64(-8.224996410108962e-20), 'mortems': np.float64(-8.725644598246926e-20)}"
229,"{'default': np.float64(0.7949329583997453), 'defined': np.float64(0.5018898160106895), 'standard': np.float64(0.33087658997715547), 'defaulted': np.float64(0.0813129611716008), 'defaulting': np.float64(0.008019373411762825), 'variant': np.float64(0.005349465349304473), 'gateway': np.float64(0.0017500802183750446), 'minimal': np.float64(0.001048272373281363)}"
230,"{'deficiency': np.float64(0.6108501176599339), 'duty': np.float64(0.5326719031322784), 'safeguard': np.float64(0.5216732002342368), 'defence': np.float64(0.19908767108158096), 'guarding': np.float64(0.12779198635946099), 'denial': np.float64(0.11463995924382178), 'protective': np.float64(0.04317185806817186), 'tackling': np.float64(0.0026509218743585006), 'dfsa': np.float64(1.3112864022870765e-19), 'proofing': np.float64(6.9478885820314e-20)}"
231,"{'set': np.float64(0.9930899855551333), 'defines': np.float64(0.09723328813887186), 'outlined': np.float64(0.06489920181751074), 'specifies': np.float64(0.01020709031358053), 'stipulates': np.float64(0.0013701016708098962)}"
232,"{'offset': np.float64(0.9949328056440592), 'delayed': np.float64(0.08085356557785192), 'duration': np.float64(0.0554216311062586), 'postponed': np.float64(0.015224267721540723), 'slowdown': np.float64(0.01036973742928391), 'scheduled': np.float64(0.0076121338607703605), 'delay': np.float64(0.007612133860770285), 'slow': np.float64(0.006327717589748915), 'delinquency': np.float64(0.0015121754136985116), 'prolonging': np.float64(0.0015121754136985107), 'soon': np.float64(0.00020901534140357726)}"
233,"{'requirement': np.float64(0.9990916735908606), 'output': np.float64(0.028801765514239828), 'implementing': np.float64(0.028596161354655956), 'realizable': np.float64(0.009000458527200546), 'receivable': np.float64(0.00677318445708542), 'deployed': np.float64(0.00466481887436454), 'deliverable': np.float64(0.004454548140230254), 'deploying': np.float64(0.00017495882408460683), 'durables': np.float64(0.00016458961076422962), 'viable': np.float64(1.0221097801137029e-05)}"
234,"{'historical': np.float64(0.9640597987948569), 'nominal': np.float64(0.2381603623937672), 'survey': np.float64(0.06774982323947219), 'normative': np.float64(0.06099379263417607), 'denominator': np.float64(0.046822329803434024), 'statistically': np.float64(0.039235787602970536), 'statistic': np.float64(0.03751934334386729), 'gender': np.float64(0.016717933855186905), 'demonyms': np.float64(0.008339568598580316), 'demographic': np.float64(0.008339568598580092)}"
235,"{'exposed': np.float64(0.7346507353382099), 'shown': np.float64(0.6597027877912929), 'evidence': np.float64(0.11989060837132809), 'exhibit': np.float64(0.06517712800294827), 'revealed': np.float64(0.0538456471732854), 'displayed': np.float64(0.03992082428728253), 'demonstrated': np.float64(0.03063984622038174), 'evident': np.float64(0.022485694364119964), 'displaying': np.float64(0.015263780116703724), 'evidenced': np.float64(0.014218304918266608), 'illustrated': np.float64(0.009280978066900878), 'proven': np.float64(2.379611046920532e-05), 'demonstrates': np.float64(8.206056976618857e-19)}"
236,"{'notional': np.float64(0.8641251228380155), 'refers': np.float64(0.3240275920304604), 'referred': np.float64(0.2898081164817209), 'rated': np.float64(0.23983458664642682), 'undiscounted': np.float64(0.0643825675194727), 'denominated': np.float64(0.036121739273374615), 'nated': np.float64(0.025186319566679844), 'redeemed': np.float64(0.025186319566679844), 'labelled': np.float64(0.008119231331710615), 'nominate': np.float64(-8.776265755011275e-18)}"
237,"{'rely': np.float64(0.8347381538944488), 'relies': np.float64(0.3819243542659831), 'depends': np.float64(0.31289332647331525), 'reliant': np.float64(0.1883201612643196), 'dependence': np.float64(0.12329062165988947), 'depend': np.float64(0.09369475850847082)}"
238,"{'required': np.float64(0.9350727593382231), 'necessary': np.float64(0.3533365003073382), 'reliance': np.float64(0.025147258935218082), 'dependency': np.float64(0.011097172115284033), 'import': np.float64(0.005548586057641969), 'needing': np.float64(0.0021672846049411226), 'overreliance': np.float64(0.001111981768764141)}"
239,"{'insufficient': np.float64(0.819710951279025), 'undrawn': np.float64(0.4607559118200829), 'provisioned': np.float64(0.2672102488292634), 'exhausted': np.float64(0.14403228879033425), 'depletion': np.float64(0.11091037494483828), 'shortage': np.float64(0.08951867976513256), 'unutilised': np.float64(0.0420761890845416), 'scarce': np.float64(0.03312191384549595), 'depleted': np.float64(0.021038094542270836), 'impaired¹': np.float64(0.0025128095105401466), 'disrupted': np.float64(0.0004908968973359208), 'untapped': np.float64(2.67718842160081e-06)}"
240,"{'steepener': np.float64(0.8219256175556252), 'trader': np.float64(0.569594837762601), 'depositor': np.float64(0.0), 'depository': np.float64(0.0), 'donor': np.float64(-8.030441563189763e-17)}"
241,"{'stress': np.float64(0.9899329464257769), 'unemployment': np.float64(0.14147772950640497), 'tension': np.float64(0.003940219189313704), 'fear': np.float64(0.0007880319076110067), 'depression': np.float64(0.0007880259426205965), 'illness': np.float64(0.00015201275746179853), 'sickness': np.float64(0.00015201275746179853), 'distress': np.float64(7.493389376111992e-06), 'embarrassment': np.float64(7.493389376056514e-06)}"
242,"{'strategy': np.float64(0.9238412351125973), 'detail': np.float64(0.34445719584173984), 'design': np.float64(0.13433245613825168), 'solution': np.float64(0.08631062675564585), 'director': np.float64(0.04866325598927529), 'shape': np.float64(0.001940874007019616)}"
244,"{'laundering': np.float64(0.9933416895246994), 'rendering': np.float64(0.09048537455106075), 'discloses': np.float64(0.04792787947924981), 'hygiene': np.float64(0.03235575916398734), 'filling': np.float64(0.03160109321234592), 'detailing': np.float64(0.016299760524040988), 'disclosing': np.float64(0.015549510078629186), 'profiling': np.float64(0.01531696814232791), 'finalising': np.float64(-7.318932590661006e-19)}"
245,"{'identified': np.float64(0.8970073362680618), 'finding': np.float64(0.3200940602659739), 'indicate': np.float64(0.2069738333149809), 'distinguishes': np.float64(0.17272677598619357), 'detect': np.float64(0.1288709337917031), 'find': np.float64(0.055072139460770025), 'indicates': np.float64(0.023945142643967788), 'signal': np.float64(0.005556253393270919), 'retrieve': np.float64(0.00015657233283343516)}"
246,"{'producing': np.float64(0.6483503519801017), 'developing': np.float64(0.6379182653740233), 'evolving': np.float64(0.3012472503601737), 'promoting': np.float64(0.2030852474493184), 'maturing': np.float64(0.15888375412969194), 'develops': np.float64(0.12422727295539149), 'evolves': np.float64(0.004069806404048115), 'transitioning': np.float64(0.003741976847171239), 'investigating': np.float64(0.0012473256157237672)}"
247,"{'dive': np.float64(0.7380274030185459), 'exceeded': np.float64(0.6489128013846365), 'deviate': np.float64(0.18079530462106155), 'varies': np.float64(0.029234771532019213), 'varying': np.float64(0.019463149842377916), 'differentiate': np.float64(0.01509226968078703), 'divergent': np.float64(0.008908821564053905), 'unusual': np.float64(0.0003957849511848539), 'redefine': np.float64(2.214956044668472e-18)}"
248,"{'divided': np.float64(0.7291604185290801), 'undifferentiated': np.float64(0.6180537611855292), 'homogenous': np.float64(0.2344188848172544), 'segregated': np.float64(0.10300896019758822), 'subdivided': np.float64(0.10300896019758822), 'differentiates': np.float64(0.08998119839547503), 'differentiated': np.float64(0.04523163314303642), 'segmented': np.float64(0.0042655739034370655), 'differentiator': np.float64(0.00012325493184916586)}"
249,"{'lgd': np.float64(0.9903385365688668), 'prescribed': np.float64(0.088302221229342), 'feeding': np.float64(0.07323378980255446), 'imm': np.float64(0.053948732264619076), 'immunize': np.float64(0.046203805240047), 'prescribes': np.float64(0.02058964359094813), 'tdi': np.float64(0.019213126784450158), 'mifid': np.float64(0.013783498427230092), 'stem': np.float64(0.006386933474161915), 'digitalis': np.float64(2.4601102990066416e-16)}"
250,"{'modelling': np.float64(0.9937452364781366), 'digitization': np.float64(0.10585090875575531), 'scaling': np.float64(0.03558030748610682), 'optimising': np.float64(0.00017835859032770915), 'digitising': np.float64(0.0), 'smoothing': np.float64(-9.308822378710466e-18)}"
251,"{'investigation': np.float64(0.7209857223070142), 'scrutiny': np.float64(0.44019114406020976), 'diligence': np.float64(0.3507151509421156), 'discipline': np.float64(0.3445569130363553), 'discretion': np.float64(0.20997144408571286), 'fidleg': np.float64(0.023125840838735683), 'labor': np.float64(0.008243157948554411)}"
252,"{'issuance': np.float64(0.9038225216860407), 'outflow': np.float64(0.300630995175184), 'dividend': np.float64(0.24019261581264845), 'sewerage': np.float64(0.1566786054105569), 'emission': np.float64(0.0837505031359454), 'dispersion': np.float64(0.03848376181444201), 'discus': np.float64(0.03346888618956789), 'outage': np.float64(0.02611310090175948), 'leakage': np.float64(0.013693612420193305), 'discharge': np.float64(0.0004763650067412681), 'spill': np.float64(0.0004763650067412097)}"
254,"{'located': np.float64(0.8833790171791672), 'dislocation': np.float64(0.326485990954016), 'placement': np.float64(0.2801119251793837), 'movable': np.float64(0.18597236109337012), 'shifting': np.float64(1.3491906093000518e-18)}"
255,"{'order': np.float64(0.9789189054225288), 'idiosyncratic': np.float64(0.1827152835144259), 'unsettled': np.float64(0.08621309730918766), 'disorderly': np.float64(0.02396546012326305), 'unrest': np.float64(0.015991724602836477), 'turbulence': np.float64(0.005245842193731575), 'unstable': np.float64(0.004615529977370102), 'untimely': np.float64(0.004615529977370102)}"
256,"{'spread': np.float64(0.992441528357959), 'distribute': np.float64(0.10581904342381107), 'roll': np.float64(0.061820505138403314), 'rollout': np.float64(0.006353580393858348), 'spend': np.float64(-1.787616127055478e-20)}"
257,"{'dodd': np.float64(0.9928784851342822), 'isda': np.float64(0.11204208386401734), 'fitch': np.float64(0.02943283596767494), 'dow': np.float64(0.027795434304050404), 'sdg': np.float64(8.48505188058551e-05), 'ill': np.float64(2.388036070195383e-20)}"
258,"{'received': np.float64(0.9611308018654288), 'funded': np.float64(0.19592870130780532), 'goodwill': np.float64(0.1939279233909258), 'philanthropy': np.float64(0.01514938913980079), 'donated': np.float64(0.0011055564181062585), 'volunteering': np.float64(0.000871775392689648)}"
259,"{'would': np.float64(0.9849342794628766), 'relief': np.float64(0.155810357403661), 'toward': np.float64(0.06037118313607969), 'left': np.float64(0.03615696526600376), 'tdr': np.float64(0.02285300373691436), 'rt': np.float64(0.011751230686876073), 'doright': np.float64(0.0039039174857420757)}"
262,"{'dynamically': np.float64(0.6753271383938256), 'nonlinear': np.float64(0.5214366709174181), 'static': np.float64(0.5214366709174181), 'interacting': np.float64(0.011868133548602779), 'flexible': np.float64(0.0)}"
263,"{'functioning': np.float64(0.613936699213936), 'ineffective': np.float64(0.5550426624230047), 'unavailability': np.float64(0.5550426624230039), 'reactivations': np.float64(0.058894036790931116), 'dysfunctionalities': np.float64(0.058894036790931005), 'efﬁciency': np.float64(5.551115123125783e-17), 'ineffectiveness': np.float64(9.490981533023753e-18)}"
264,"{'early': np.float64(0.635085220754), 'pre': np.float64(0.4441011606199548), 'latter': np.float64(0.37591626677764867), 'earlier': np.float64(0.3538121760520202), 'initially': np.float64(0.18815565610435264), 'previously': np.float64(0.15937221176950364), 'preceding': np.float64(0.1558716353821572), 'forth': np.float64(0.15334055410197414), 'originally': np.float64(0.1279790768962305), 'recently': np.float64(0.08341352281323429), 'er': np.float64(0.031575639287979795)}"
265,"{'earnings': np.float64(0.7363742596265549), 'economy': np.float64(0.43638949864338417), 'revenue': np.float64(0.3066151879835016), 'receivables': np.float64(0.27151697816027476), 'profitability': np.float64(0.24885954793728282), 'proceeds': np.float64(0.17545517602855376), 'employment': np.float64(0.07223988657902733), 'income²': np.float64(0.03963732586747969), 'financials': np.float64(0.008445912869362571), 'wage': np.float64(0.001863886596219014), 'payouts': np.float64(0.0016409066694915212)}"
